glider_sn, 1012
deployment_number, 3
fin_type, radome
glider_type, G3
length_days, 67.88472222222222
launch_datetime, 2023-12-13T19:46:00
end_datetime, 2024-02-19T17:00:00
log file,open time,disconnect,in-mission,data transfer drop,flight xfer drop,science xfer drop,other data xfer drop
ce_1012_20240122T112401_network_net_0.log,2024-01-22T11:24:01,False,True,False,False,False,False
ce_1012_20240122T112659_network_net_0.log,2024-01-22T11:26:59,False,True,False,False,False,False
ce_1012_20240122T113302_network_net_0.log,2024-01-22T11:33:02,False,True,False,False,False,False
ce_1012_20240122T113524_network_net_0.log,2024-01-22T11:35:24,False,True,False,False,False,False
ce_1012_20240122T114123_network_net_0.log,2024-01-22T11:41:23,False,True,False,False,False,False
ce_1012_20240122T114736_network_net_0.log,2024-01-22T11:47:36,False,True,False,False,False,False
ce_1012_20240122T115247_network_net_0.log,2024-01-22T11:52:47,False,True,False,False,False,False
ce_1012_20240122T115828_network_net_0.log,2024-01-22T11:58:28,False,True,False,False,False,False
ce_1012_20240122T120630_network_net_0.log,2024-01-22T12:06:30,False,True,False,False,False,False
ce_1012_20240122T120956_network_net_0.log,2024-01-22T12:09:56,False,True,False,False,False,False
ce_1012_20240122T121556_network_net_0.log,2024-01-22T12:15:56,False,True,False,False,False,False
ce_1012_20240122T122130_network_net_0.log,2024-01-22T12:21:30,False,True,False,False,False,False
ce_1012_20240122T122332_network_net_0.log,2024-01-22T12:23:32,False,True,False,False,False,False
ce_1012_20240122T122758_network_net_0.log,2024-01-22T12:27:58,False,True,False,False,False,False
ce_1012_20240122T123534_network_net_0.log,2024-01-22T12:35:34,False,True,False,False,False,False
ce_1012_20240122T123857_network_net_0.log,2024-01-22T12:38:57,False,True,False,False,False,False
ce_1012_20240122T124155_network_net_0.log,2024-01-22T12:41:55,False,True,False,False,False,False
ce_1012_20240122T124445_network_net_0.log,2024-01-22T12:44:45,False,True,False,False,False,False
ce_1012_20240122T125239_network_net_1.log,2024-01-22T12:52:39,False,True,False,False,False,False
ce_1012_20240122T125554_network_net_1.log,2024-01-22T12:55:54,False,True,False,False,False,False
ce_1012_20240122T125944_network_net_1.log,2024-01-22T12:59:44,False,True,False,False,False,False
ce_1012_20240122T130150_network_net_1.log,2024-01-22T13:01:50,False,True,False,False,False,False
ce_1012_20240122T130724_network_net_0.log,2024-01-22T13:07:24,False,True,False,False,False,False
ce_1012_20240122T130950_network_net_0.log,2024-01-22T13:09:50,False,True,False,False,False,False
ce_1012_20240122T131306_network_net_0.log,2024-01-22T13:13:06,False,True,False,False,False,False
ce_1012_20240122T131858_network_net_0.log,2024-01-22T13:18:58,False,True,False,False,False,False
ce_1012_20240122T132437_network_net_0.log,2024-01-22T13:24:37,False,True,False,False,False,False
ce_1012_20240122T133015_network_net_0.log,2024-01-22T13:30:15,False,True,False,False,False,False
ce_1012_20240122T133209_network_net_0.log,2024-01-22T13:32:09,False,True,False,False,False,False
ce_1012_20240122T133602_network_net_0.log,2024-01-22T13:36:02,False,True,False,False,False,False
ce_1012_20240122T133736_network_net_0.log,2024-01-22T13:37:36,False,True,False,False,False,False
ce_1012_20240122T134138_network_net_0.log,2024-01-22T13:41:38,False,True,False,False,False,False
